Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
199.97   135.30    135.30        2 67650.00 67650.00  IO.select
 99.99   202.95     67.65      122   554.51   554.51  Kernel#sleep
 99.99   270.60     67.65        2 33825.00 33825.00  Thread#join
 99.99   338.25     67.65        2 33825.00 33825.00  TCPServer#accept
  3.90   340.89      2.64    38881     0.07     0.09  Kernel#dup
  3.06   342.96      2.07    76432     0.03     0.14  BinData::Struct#instantiate_obj_at
  2.51   344.66      1.70   116930     0.01     0.02  BinData::Base#has_parameter?
  2.34   346.24      1.58    41458     0.04     0.06  Kernel#clone
  2.28   347.78      1.54    43661     0.04     0.22  BinData::BasePrimitive#do_write
  2.07   349.18      1.40    81366     0.02     0.15  BinData::BasePrimitive#_value
  2.07   350.58      1.40    41871     0.03     0.04  Kernel#define_singleton_method
  2.07   351.98      1.40    54789     0.03     3.55  BinData::Struct#do_write
  2.01   353.34      1.36    40626     0.03     3.20  Array#each
  1.97   354.67      1.33    86715     0.02     0.28  BinData::Struct#instantiate_all_objs
  1.94   355.98      1.31    41450     0.03     0.30  BinData::Base#new
  1.83   357.22      1.24    76355     0.02     0.04  BinData::Struct#include_obj?
  1.71   358.38      1.16    77948     0.01     0.14  BasicObject#!=
  1.71   359.54      1.16    43661     0.03     0.05  BinData::IO::Write#writebytes
  1.67   360.67      1.13    23165     0.05     0.21  BinData::BasePrimitive#assign
  1.64   361.78      1.11     5152     0.22     0.45  Pio::Mac#initialize
  1.48   362.78      1.00    13957     0.07     0.19  BinData::Struct#define_field_accessors_for
  1.46   363.77      0.99    90381     0.01     0.01  Kernel#respond_to?
  1.39   364.71      0.94    31916     0.03     1.69  BinData::Struct#do_read
  1.23   365.54      0.83    54367     0.02     0.40  Class#new
  1.23   366.37      0.83    21469     0.04     0.57  Array#each_index
  1.21   367.19      0.82    61580     0.01     0.02  Fixnum#==
  1.21   368.01      0.82    54635     0.02     0.02  BinData::Base#get_parameter
  1.12   368.77      0.76    41450     0.02     0.32  BinData::SanitizedPrototype#instantiate
  1.11   369.52      0.75   188478     0.00     0.00  Kernel#nil?
  1.09   370.26      0.74    28073     0.03     0.03  BinData::SanitizedField#name_as_sym
  1.06   370.98      0.72    42875     0.02     0.10  BinData::BasePrimitive#snapshot
  0.95   371.62      0.64    43661     0.01     0.02  BinData::IO::Write#write_raw
  0.90   372.23      0.61    41458     0.01     0.02  Kernel#initialize_clone
  0.89   372.83      0.60     9490     0.06     0.45  BinData::Base#eval_parameter
  0.83   373.39      0.56   122227     0.00     0.00  Hash#has_parameter?
  0.81   373.94      0.55    15577     0.04     0.13  BinData::IO::Read#readbytes
  0.72   374.43      0.49    16711     0.03     0.57  BinData::Primitive#method_missing
  0.69   374.90      0.47    11975     0.04     0.82  BinData::Struct#snapshot
  0.69   375.37      0.47    20087     0.02     0.37  BinData::Struct#define_field_accessors
  0.69   375.84      0.47    17298     0.03     0.08  BinData::IO::Read#read
  0.68   376.30      0.46    22488     0.02     0.31  BinData::BasePrimitive#do_read
  0.67   376.75      0.45    17298     0.03     0.04  BinData::IO::Read::SeekableStream#read_raw
  0.67   377.20      0.45     9946     0.05     0.14  BinData::BasePrimitive#method_missing
  0.67   377.65      0.45    11172     0.04     0.07  BinData::Struct#base_field_name
  0.65   378.09      0.44     9414     0.05     5.03  BinData::Primitive#do_write
  0.64   378.52      0.43    14548     0.03     0.04  BinData::Uint16be#value_to_binary_string
  0.62   378.94      0.42    12164     0.03     0.59  Array#collect
  0.62   379.36      0.42    24229     0.02     0.32  BinData::SanitizedField#instantiate
  0.62   379.78      0.42    41464     0.01     0.01  Kernel#initialize_copy
  0.61   380.19      0.41    22260     0.02     0.03  BinData::Uint8#value_to_binary_string
  0.58   380.58      0.39     6209     0.06     0.10  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.58   380.97      0.39     6946     0.06     0.18  BinData::Uint8#read_and_return_value
  0.58   381.36      0.39     6116     0.06     1.24  BinData::Struct#initialize_shared_instance
  0.55   381.73      0.37     6854     0.05     0.09  Pio::Mac#to_s
  0.53   382.09      0.36    20544     0.02     0.31  BinData::Array#do_write
  0.53   382.45      0.36    20568     0.02     0.61  BinData::Array#to_storage_formats
  0.53   382.81      0.36     1714     0.21     0.27  Pio::Mac#parse_mac_string
  0.52   383.16      0.35    20087     0.02     0.10  BinData::SanitizedFields#any_field_has_parameter?
  0.49   383.49      0.33    17437     0.02     0.02  Kernel#initialize_dup
  0.49   383.82      0.33     6209     0.05     2.14  BinData::Base#initialize_with_warning
  0.49   384.15      0.33    62073     0.01     0.01  Module#===
  0.46   384.46      0.31    11172     0.03     0.13  BinData::Struct#find_obj_for_name
  0.44   384.76      0.30     6209     0.05     0.75  BinData::Base#extract_args
  0.44   385.06      0.30     6209     0.05     2.06  BinData::Base#initialize
  0.43   385.35      0.29    43661     0.01     0.01  StringIO#write
  0.41   385.63      0.28     4286     0.07     0.63  Array#map
  0.41   385.91      0.28     7734     0.04     0.31  BinData::LazyEvaluator#method_missing
  0.41   386.19      0.28     7734     0.04     0.13  BinData::LazyEvaluator#recursively_eval
  0.41   386.47      0.28     7734     0.04     0.27  BinData::LazyEvaluator#eval_symbol_in_parent_context
  0.40   386.74      0.27    11150     0.02     0.04  BinData::Struct::Snapshot#[]=
  0.38   387.00      0.26    17221     0.02     0.34  BinData::Array#new_element
  0.38   387.26      0.26    65021     0.00     0.00  Hash#[]
  0.38   387.52      0.26    20237     0.01     0.08  BinData::SanitizedFields#field_names
  0.37   387.77      0.25     2581     0.10     0.39  BinData::IO::Read#initialize
  0.37   388.02      0.25     8570     0.03     0.11  IPAddr#_to_string
  0.37   388.27      0.25     8807     0.03     0.03  BinData::Base.arg_processor
  0.35   388.51      0.24     7758     0.03     0.04  BinData::SanitizedParameters#needs_sanitizing?
  0.35   388.75      0.24     7734     0.03     0.10  BinData::LazyEvaluator#resolve_symbol_in_parent_context
  0.34   388.98      0.23    13971     0.02     0.03  BinData::SanitizedPrototype#has_parameter?
  0.34   389.21      0.23     6209     0.04     0.09  BinData::BaseArgProcessor#separate_args
  0.33   389.43      0.22     5185     0.04     0.06  BinData::DSLMixin::DSLParser#option?
  0.33   389.65      0.22     5155     0.04     0.62  BinData::LazyEvaluator#lazy_eval
  0.31   389.86      0.21    50074     0.00     0.00  Fixnum#&
  0.30   390.06      0.20    17143     0.01     0.22  BinData::Uint8#assign
  0.30   390.26      0.20     3473     0.06     0.86  BinData::Primitive#read_and_return_value
  0.30   390.46      0.20    13971     0.01     0.05  BinData::SanitizedField#has_parameter?
  0.30   390.66      0.20    39086     0.01     0.01  Symbol#to_s
  0.28   390.85      0.19     6116     0.03     0.17  Array#any?
  0.28   391.04      0.19     9430     0.02     0.02  Array#join
  0.28   391.23      0.19    28389     0.01     0.01  Exception#initialize
  0.28   391.42      0.19     3426     0.06     0.66  Pio::Mac#==
  0.27   391.60      0.18    36280     0.00     0.00  BinData::BasePrimitive#initialize_instance
  0.27   391.78      0.18     3434     0.05     0.08  IPAddr#initialize
  0.27   391.96      0.18    11172     0.02     0.02  String#sub
  0.25   392.13      0.17    11153     0.02     0.03  BinData::Base#reading?
  0.25   392.30      0.17     3432     0.05     0.15  IPAddr#coerce_other
  0.25   392.47      0.17     6209     0.03     0.54  BinData::SanitizedParameters.sanitize
  0.25   392.64      0.17     5255     0.03     0.12  BinData::BasePrimitive#respond_to?
  0.25   392.81      0.17    11153     0.02     0.13  BinData::BasePrimitive::ValuePlugin#_value
  0.24   392.97      0.16     5151     0.03     0.15  BinData::IO.create_string_io
  0.24   393.13      0.16    60719     0.00     0.00  BasicObject#==
  0.24   393.29      0.16     2599     0.06     0.12  BinData::DSLMixin::DSLParser#hide
  0.24   393.45      0.16    11153     0.01     0.02  BinData::Base#furthest_ancestor
  0.24   393.61      0.16     5151     0.03     0.04  StringIO#initialize
  0.24   393.77      0.16    17972     0.01     0.01  Array#pack
  0.24   393.93      0.16     1714     0.09     0.26  Range#each
  0.22   394.08      0.15    46231     0.00     0.00  BinData::IO::Write#flushbits
  0.22   394.23      0.15     3458     0.04     0.18  BinData::Uint32be#read_and_return_value
  0.22   394.38      0.15     2586     0.06     0.70  BinData::RecordArgProcessor#sanitize_parameters!
  0.22   394.53      0.15     6116     0.02     0.60  BinData::SanitizedFields#each
  0.22   394.68      0.15     6857     0.02     0.04  Exception.exception
  0.22   394.83      0.15     2570     0.06    22.23  BinData::Base#write
  0.22   394.98      0.15    52398     0.00     0.00  Kernel#respond_to_missing?
  0.22   395.13      0.15     2586     0.06     0.30  BinData::DSLMixin::DSLParser#to_struct_params
  0.22   395.28      0.15     2587     0.06     1.14  BinData::SanitizedParameters#sanitize!
  0.22   395.43      0.15     6116     0.02     0.62  Enumerable#each_with_index
  0.21   395.57      0.14     6209     0.02     0.14  BinData::RegisterNamePlugin#initialize_shared_instance
  0.21   395.71      0.14     4299     0.03     0.09  BinData::Base#binary_string
  0.21   395.85      0.14    17298     0.01     0.01  BinData::IO::Read::SeekableStream#raw_io
  0.21   395.99      0.14     3519     0.04     1.22  BinData::Primitive#initialize_instance
  0.19   396.12      0.13    13738     0.01     0.01  Hash#[]=
  0.19   396.25      0.13     6209     0.02     0.02  Kernel#method
  0.19   396.38      0.13    46935     0.00     0.00  Kernel#is_a?
  0.19   396.51      0.13     2586     0.05     0.35  BinData::DSLMixin::DSLParser#dsl_params
  0.19   396.64      0.13      859     0.15     9.21  Trema::Switch#read_openflow_binary
  0.19   396.77      0.13     3426     0.04     0.08  Kernel#fail
  0.18   396.89      0.12     5173     0.02     0.07  BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.18   397.01      0.12     2587     0.05     1.19  BinData::SanitizedParameters#initialize
  0.18   397.13      0.12     2586     0.05     0.24  BinData::StructArgProcessor#sanitize_parameters!
  0.18   397.25      0.12     3428     0.04     1.93  BinData::Array#assign
  0.18   397.37      0.12     3420     0.04     0.32  Pio::OpenFlow10::FlowMod::Body::Flags#get
  0.18   397.49      0.12    21571     0.01     0.01  String#unpack
  0.18   397.61      0.12     5173     0.02     0.06  BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.18   397.73      0.12     4309     0.03     0.13  BinData::Uint16be#read_and_return_value
  0.16   397.84      0.11    28390     0.00     0.00  Exception#backtrace
  0.16   397.95      0.11     1714     0.06     3.27  Pio::Type::MacAddress#set
  0.16   398.06      0.11     2581     0.04     7.93  BinData::Base#read
  0.16   398.17      0.11     2607     0.04     0.04  Module#extend_object
  0.16   398.28      0.11     2587     0.04     0.04  BinData::AcceptedParametersPlugin#mandatory_parameters
  0.16   398.39      0.11     1714     0.06     0.26  Pio::Mac#to_a
  0.16   398.50      0.11     2569     0.04     0.06  BinData::Uint32be#value_to_binary_string
  0.16   398.61      0.11     6209     0.02     0.67  BinData::BaseArgProcessor#extract_args
  0.15   398.71      0.10    17296     0.01     0.01  BinData::IO::Read#reset_read_bits
  0.15   398.81      0.10     3428     0.03     0.19  IPAddr#==
  0.15   398.91      0.10     2586     0.04     0.09  BinData::StructArgProcessor#sanitize_endian
  0.15   399.01      0.10     2570     0.04    22.38  BinData::Base#to_binary_s
  0.15   399.11      0.10     6950     0.01     0.02  Kernel#format
  0.15   399.21      0.10    41876     0.00     0.00  BasicObject#singleton_method_added
  0.13   399.30      0.09    24229     0.00     0.00  BinData::SanitizedFields#[]
  0.13   399.39      0.09     6946     0.01     0.81  BinData::Base#==
  0.13   399.48      0.09     2587     0.03     0.06  BinData::AcceptedParametersPlugin#default_parameters
  0.13   399.57      0.09     5997     0.02     0.11  BinData::BasePrimitive#hash
  0.13   399.66      0.09     1716     0.05     1.04  BinData::BasePrimitive::AssertPlugin#do_read
  0.13   399.75      0.09     2607     0.03     0.08  Kernel#extend
  0.12   399.83      0.08    11172     0.01     0.01  String#to_sym
  0.12   399.91      0.08    21533     0.00     0.00  Exception#exception
  0.12   399.99      0.08     2586     0.03     0.05  BinData::AcceptedParametersPlugin#mutually_exclusive_parameters
  0.12   400.07      0.08     1714     0.05     2.12  Pio::OpenFlow10::Match::MatchIpAddress#set
  0.12   400.15      0.08      855     0.09    43.03  Trema::Controller#send_message
  0.12   400.23      0.08     3436     0.02     0.06  Trema::Switch#drain
  0.12   400.31      0.08    22260     0.00     0.00  Integer#chr
  0.12   400.39      0.08    26910     0.00     0.00  NilClass#nil?
  0.12   400.47      0.08     1714     0.05     0.55  Pio::IPv4Address#to_a
  0.10   400.54      0.07     2586     0.03     0.08  BinData::StructArgProcessor#sanitize_fields
  0.10   400.61      0.07      859     0.08    25.93  Pio::OpenFlow.read
  0.10   400.68      0.07     2597     0.03     0.10  BinData::MultiFieldArgSeparator#separate_args
  0.10   400.75      0.07    22490     0.00     0.00  Array#at
  0.10   400.82      0.07     5172     0.01     0.02  BinData::DSLMixin::DSLParser#endian
  0.10   400.89      0.07      855     0.08     0.64  Pio::OpenFlow10::FlowMod::Body#length
  0.10   400.96      0.07     2587     0.03     0.09  BinData::SanitizedParameters#merge_default_parameters!
  0.10   401.03      0.07     1714     0.04     0.04  Regexp#===
  0.10   401.10      0.07     5156     0.01     0.01  BasicObject#initialize
  0.10   401.17      0.07     3436     0.02     0.03  IPAddr#set
  0.10   401.24      0.07    11163     0.01     0.01  String#initialize_copy
  0.09   401.30      0.06     1720     0.03     0.51  BinData::Uint32be#assign
  0.09   401.36      0.06    17298     0.00     0.00  BinData::IO::Read#buffer_limited_n
  0.09   401.42      0.06    12010     0.00     0.00  String#hex
  0.09   401.48      0.06     1716     0.03     0.97  BinData::BasePrimitive::AssertPlugin#assert!
  0.09   401.54      0.06     2581     0.02    11.42  BinData::Base.read
  0.09   401.60      0.06     6017     0.01     0.02  BinData::Base#lazy_evaluator
  0.09   401.66      0.06     2579     0.02     0.83  nil#
  0.09   401.72      0.06      855     0.07     0.35  Pio::OpenFlow10::FlowMod::Body::Flags#set
  0.07   401.77      0.05     1713     0.03     0.23  BinData::String#assign
  0.07   401.82      0.05      856     0.06    78.63  Trema::Controller#handle_openflow_message
  0.07   401.87      0.05      861     0.06     0.06  IO#write
  0.07   401.92      0.05      855     0.06     0.44  Pio::OpenFlow10::PacketIn::Reason#get
  0.07   401.97      0.05      862     0.06     1.04  Pio::OpenFlow::TransactionId#set
  0.07   402.02      0.05    28035     0.00     0.00  Symbol#to_sym
  0.07   402.07      0.05     2603     0.02     0.38  BinData::DSLMixin#method_missing
  0.07   402.12      0.05     2579     0.02     0.85  BasicObject#instance_exec
  0.07   402.17      0.05     2575     0.02     0.08  Fixnum#<
  0.07   402.22      0.05     6919     0.01     0.09  Hash#each
  0.07   402.27      0.05     7771     0.01     0.01  BinData::AcceptedParametersPlugin#accepted_parameters
  0.07   402.32      0.05     2570     0.02     0.04  BinData::IO::Write#initialize
  0.07   402.37      0.05     2576     0.02     0.18  BinData::Uint16be#assign
  0.07   402.42      0.05     6116     0.01     0.01  Kernel#freeze
  0.07   402.47      0.05     9450     0.01     0.01  String#force_encoding
  0.07   402.52      0.05     3428     0.01     0.20  Pio::IPv4Address#==
  0.07   402.57      0.05      855     0.06     1.47  #<BinData::Struct:0x007fd3383c61b8>.octets=
  0.07   402.62      0.05     2597     0.02     0.02  BinData::AcceptedParametersPlugin::AcceptedParameters#mutually_exclusive
  0.07   402.67      0.05    11172     0.00     0.00  Array#index
  0.07   402.72      0.05    19868     0.00     0.01  StringIO#read
  0.07   402.77      0.05      857     0.06     0.15  Pio::OpenFlow::Port#reserved_port_name?
  0.07   402.82      0.05     1714     0.03     0.41  IPAddr#to_s
  0.06   402.86      0.04     1718     0.02     0.06  Pio::OpenFlowHeaderParser#length
  0.06   402.90      0.04      864     0.05     0.05  Array#-
  0.06   402.94      0.04     1718     0.02     0.09  BinData::Rest#read_and_return_value
  0.06   402.98      0.04     7771     0.01     0.01  BinData::DSLMixin::DSLParser#parser_abilities
  0.06   403.02      0.04      859     0.05    35.18  Trema::Switch#read
  0.06   403.06      0.04     1710     0.02    16.78  Pio::OpenFlow10::PacketIn.read
  0.06   403.10      0.04      855     0.05     0.07  #<Pio::OpenFlow10::FlowMod::Format:0x007fd3386e98b8>.body
  0.06   403.14      0.04     7840     0.01     0.01  BinData::Struct#initialize_instance
  0.06   403.18      0.04      862     0.05     1.13  BinData::String#read_and_return_value
  0.06   403.22      0.04     2586     0.02     0.03  BinData::StructArgProcessor#sanitize_hide
  0.06   403.26      0.04     3532     0.01     0.03  BinData::InitialLengthPlugin#elements
  0.06   403.30      0.04    25926     0.00     0.00  Module#method_added
  0.06   403.34      0.04     5189     0.01     0.01  Array#include?
  0.06   403.38      0.04     2586     0.02     0.02  Hash#merge!
  0.06   403.42      0.04     4302     0.01     0.02  BinData::Base#safe_respond_to?
  0.06   403.46      0.04     6868     0.01     0.01  Fixnum#>>
  0.06   403.50      0.04     7148     0.01     0.01  Array#pop
  0.06   403.54      0.04      856     0.05     0.27  Pio::OpenFlow10::FlowMod::Command#set
  0.06   403.58      0.04      863     0.05     0.05  Enumerable#inject
  0.06   403.62      0.04    17592     0.00     0.00  Kernel#class
  0.06   403.66      0.04     6948     0.01     0.01  Fixnum#to_s
  0.06   403.70      0.04     2587     0.02     0.02  BinData::SanitizedParameters#ensure_no_nil_values
  0.06   403.74      0.04      858     0.05    42.54  Trema::Switch#write
  0.06   403.78      0.04     8568     0.00     0.00  String#*
  0.06   403.82      0.04     3431     0.01     0.04  Kernel#raise
  0.06   403.86      0.04     6884     0.01     0.01  String#to_i
  0.04   403.89      0.03      873     0.03     0.37  BinData::String#snapshot
  0.04   403.92      0.03     1718     0.02     0.02  IO#readpartial
  0.04   403.95      0.03     1718     0.02     0.06  BinData::IO::Read#read_all_bytes
  0.04   403.98      0.03      859     0.03     0.40  Pio::OpenFlow10::Match::Wildcards#set
  0.04   404.01      0.03     2591     0.01     0.02  BinData::Struct#clear
  0.04   404.04      0.03     2598     0.01     0.01  BinData::LazyEvaluator#initialize
  0.04   404.07      0.03      858     0.03     0.03  Hash#invert
  0.04   404.10      0.03      857     0.04   157.16  Trema::Controller#start_switch_main
  0.04   404.13      0.03     4295     0.01     0.16  Hash#fetch
  0.04   404.16      0.03     2586     0.01     0.21  BinData::String#clamp_to_length
  0.04   404.19      0.03     1714     0.02     0.08  Pio::Mac#to_str
  0.04   404.22      0.03     3444     0.01     0.37  BinData::BasePrimitive::InitialValuePlugin#_value
  0.04   404.25      0.03     1715     0.02     0.08  BinData::BasePrimitive#eql?
  0.04   404.28      0.03      856     0.04     3.20  Pio::OpenFlow::Actions#set
  0.04   404.31      0.03      855     0.04     0.07  BinData::Uint64be#value_to_binary_string
  0.04   404.34      0.03      858     0.03    43.25  Mutex#synchronize
  0.04   404.37      0.03      855     0.04     0.04  Numeric#coerce
  0.04   404.40      0.03     1724     0.02    78.60  Kernel#loop
  0.04   404.43      0.03      855     0.04     0.70  BinData::Primitive#sensible_default
  0.03   404.45      0.02     2597     0.01     0.01  BinData::MultiFieldArgSeparator#parameters_is_value?
  0.03   404.47      0.02     8587     0.00     0.00  Fixnum#===
  0.03   404.49      0.02     2579     0.01     0.04  Pio::OpenFlow::TransactionId#get
  0.03   404.51      0.02      862     0.02     0.02  BinData::LazyEvaluator#parent
  0.03   404.53      0.02     1716     0.01     0.01  Hash#==
  0.03   404.55      0.02      857     0.02     0.20  #<BinData::Struct:0x007fd33817af30>.command=
  0.03   404.57      0.02     2570     0.01     0.01  StringIO#rewind
  0.03   404.59      0.02     5162     0.00     0.00  StringIO#pos
  0.03   404.61      0.02     2581     0.01     0.01  BinData::IO::Read#seekable?
  0.03   404.63      0.02      857     0.02     0.09  Pio::OpenFlow::Port.reserved_port_name?
  0.03   404.65      0.02      857     0.02     0.58  Pio::OpenFlow::Port#set
