Cbench started.
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
199.95   130.67    130.67        2 65335.00 65335.00  IO.select
 99.98   196.01     65.34        2 32670.00 32670.00  Thread#join
 99.98   261.35     65.34        2 32670.00 32670.00  TCPServer#accept
 99.94   326.66     65.31      115   567.91   567.91  Kernel#sleep
  3.24   328.78      2.12    31542     0.07     0.10  Kernel#dup
  2.88   330.66      1.88    40593     0.05     0.31  BinData::Struct#instantiate_obj_at
  2.66   332.40      1.74    47187     0.04     0.11  BinData::BasePrimitive#method_missing
  2.57   334.08      1.68    59181     0.03     0.03  Kernel#define_singleton_method
  2.30   335.58      1.50    19727     0.08     0.18  BinData::Struct#define_field_accessors_for
  2.23   337.04      1.46    88970     0.02     0.08  BinData::BasePrimitive#_value
  2.17   338.46      1.42    47305     0.03     0.06  Kernel#clone
  2.14   339.86      1.40    89151     0.02     0.06  BasicObject#!=
  2.05   341.20      1.34    31153     0.04     3.85  Array#each
  2.02   342.52      1.32    45817     0.03     0.30  BinData::Base#new
  1.87   343.74      1.22    49057     0.02     0.03  BinData::SanitizedField#name_as_sym
  1.70   344.85      1.11    79273     0.01     0.02  Fixnum#==
  1.64   345.92      1.07    77916     0.01     0.02  BinData::Base#has_parameter?
  1.64   346.99      1.07   146850     0.01     0.01  Kernel#respond_to?
  1.64   348.06      1.07    18052     0.06     0.25  BinData::BasePrimitive#assign
  1.55   349.07      1.01    27900     0.04     0.39  Pio::OpenFlow10::Match::Wildcards#get
  1.55   350.08      1.01    57493     0.02     0.02  BinData::Base#get_parameter
  1.45   351.03      0.95    76338     0.01     0.07  BinData::BasePrimitive#snapshot
  1.41   351.95      0.92    47305     0.02     0.02  Kernel#initialize_clone
  1.30   352.80      0.85    47576     0.02     2.56  Class#new
  1.27   353.63      0.83    18174     0.05     0.13  BinData::IO::Read#readbytes
  1.22   354.43      0.80    37675     0.02     0.22  BinData::Primitive#method_missing
  1.18   355.20      0.77     4470     0.17     0.28  Pio::Mac#initialize
  1.13   355.94      0.74    45817     0.02     0.32  BinData::SanitizedPrototype#instantiate
  1.10   356.66      0.72    26730     0.03     0.39  BinData::Struct#define_field_accessors
  0.99   357.31      0.65    16017     0.04     0.20  BinData::BasePrimitive#do_write
  0.96   357.94      0.63     6990     0.09     1.48  BinData::Struct#initialize_shared_instance
  0.93   358.55      0.61    37250     0.02     0.08  BinData::SanitizedFields#field_names
  0.86   359.11      0.56    12798     0.04     0.50  Array#collect
  0.81   359.64      0.53    19298     0.03     0.04  BinData::IO::Read::SeekableStream#read_raw
  0.81   360.17      0.53    19298     0.03     0.07  BinData::IO::Read#read
  0.80   360.69      0.52    38787     0.01     0.44  BinData::Struct#instantiate_all_objs
  0.80   361.21      0.52    20701     0.03     2.56  BinData::Struct#do_read
  0.80   361.73      0.52    17520     0.03     0.18  Kernel#format
  0.77   362.23      0.50    32008     0.02     0.04  BinData::Struct#include_obj?
  0.75   362.72      0.49   178932     0.00     0.00  Kernel#nil?
  0.73   363.20      0.48    18078     0.03     3.07  BinData::Struct#do_write
  0.73   363.68      0.48    17724     0.03     0.13  BinData::BasePrimitive#respond_to?
  0.69   364.13      0.45    10093     0.04     0.62  BinData::Base#eval_parameter
  0.69   364.58      0.45    22886     0.02     0.71  BinData::BasePrimitive#do_read
  0.67   365.02      0.44     7268     0.06     0.68  BinData::Base#extract_args
  0.66   365.45      0.43     7268     0.06     0.13  BinData::BaseArgProcessor#separate_args
  0.64   365.87      0.42    20873     0.02     0.26  BinData::Array#new_element
  0.63   366.28      0.41    12525     0.03     0.17  BinData::Uint8#read_and_return_value
  0.60   366.67      0.39     9193     0.04     0.95  Array#each_index
  0.60   367.06      0.39     6013     0.06     0.96  Hash#each
  0.58   367.44      0.38     7267     0.05     0.09  BinData::CheckOrAdjustOffsetPlugin#initialize_shared_instance
  0.58   367.82      0.38    24944     0.02     0.40  BinData::SanitizedField#instantiate
  0.57   368.19      0.37    15672     0.02     0.18  BinData::InitialLengthPlugin#elements
  0.57   368.56      0.37     8950     0.04     0.06  BinData::Struct#base_field_name
  0.55   368.92      0.36    19741     0.02     0.05  BinData::SanitizedField#has_parameter?
  0.54   369.27      0.35     8950     0.04     0.59  BinData::Struct#find_obj_for_name
  0.54   369.62      0.35     9342     0.04     0.04  BinData::Base.arg_processor
  0.54   369.97      0.35     7464     0.05    14.90  BinData::Struct#assign_fields
  0.52   370.31      0.34     7268     0.05     6.84  BinData::Base#initialize
  0.52   370.65      0.34    15723     0.02     0.02  Kernel#initialize_dup
  0.50   370.98      0.33    16017     0.02     0.04  BinData::IO::Write#writebytes
  0.50   371.31      0.33    26730     0.01     0.10  BinData::SanitizedFields#any_field_has_parameter?
  0.49   371.63      0.32     5580     0.06     0.18  IPAddr#in_addr
  0.49   371.95      0.32    16038     0.02     0.46  BinData::Array#each
